,PID,Label,Description,Relevant
0,P105,taxon rank,level in a taxonomic hierarchy,no
1,P106,occupation,"occupation of a person; see also  ""field of work"" (Property: P101),  ""position held"" (Property: P39)",yes
2,P108,employer,person or organization for which the subject works or worked,yes
3,P109,signature,image of a person's signature,yes
4,P110,illustrator,person drawing the pictures or taking the photographs in a book or similar work,yes
5,P111,measured physical quantity,value of a physical property expressed as number multiplied by a unit,no
6,P112,founded by,"founder or co-founder of this organization, religion, place or entity",yes
7,P113,airline hub,airport that serves as a hub for an airline,no
8,P114,airline alliance,alliance the airline belongs to,no
9,P115,home venue,home stadium or venue of a sports team or applicable performing arts organization,yes
10,P117,chemical structure,image of a representation of the structure for a chemical compound,no
11,P118,league or competition,"league or competition in which team or player has played, or in which an event occurs",yes
12,P119,place of burial,"location of grave, resting place, place of ash-Scattering, etc. for a person or animal",yes
13,P121,item operated,"equipment, installation or service operated by the subject",no
14,P122,basic form of government,subject's government,yes
15,P123,publisher,"organization or person responsible for publishing books, periodicals, printed music, podcasts",yes
16,P126,maintained by,person or organization in charge of keeping the subject (for instance an infrastructure),no
17,P127,owned by,owner of the subject,yes
18,P128,regulates  (molecular biology),process regulated by a protein or RNA in molecular biology,no
19,P129,physically interacts with,physical entity that the subject interacts with,no
20,P131,located in the administrative territorial entity,the item is located on the territory of the following administrative entity. Use P276...,yes
21,P135,movement,"literary, artistic, scientific or philosophical movement associated with this person or work.",yes
22,P136,genre,creative work's genre or an artist's field of work (P101). Use main subject...,yes
23,P137,operator,"person, profession, organization or entity that operates the equipment, facility, or service",yes
24,P138,named after,entity or event that inspired the subject's name. Qualifier can indicate which one,yes
25,P140,religion or worldview,"religion of a person, organization, or building; associated with this subject",yes
26,P141,IUCN conservation status,conservation status assigned by International Union for Conservation of Nature,no
27,P143,imported from Wikimedia project,source of claim's value; used in references section by bots or humans importing data,no
28,P144,based on,the work(s) or inputs used as the basis for subject item; for fictional analog use P1074,yes
29,P149,architectural style,architectural style of a structure,yes
30,P150,contains the administrative territorial entity,(list of) direct subdivisions of an administrative territorial entity,no
31,P154,logo image,"graphic mark or emblem commonly used by commercial enterprises, organizations and products",yes
32,P155,follows,"immediately prior item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has replaced the preceding item, e. g. political offices, use ""replaces"" (P1365)]",yes
33,P156,followed by,"immediately following item in a series of which the subject is a part, preferably use as qualifier of P179 [if the subject has been replaced, e.g. political offices, use ""replaced by"" (P1366)]",yes
34,P157,killed by,person or organization who killed the subject,no
35,P158,seal image,image of subject's seal (emblem),yes
36,P159,headquarters location,city or town where an organization's headquarters is or has been situated. Use P276 qualifier for specific building,yes
37,P161,cast member,"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role] - [use ""recorded participant"" (P11108) for non-fiction productions]",yes
38,P162,producer,"person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]",yes
39,P163,flag,subject's flag,no
40,P166,award received,"award or recognition received by a person, organization or creative work",yes
41,P167,structure replaced by,"the item which replaced this building or structure, at the same geographic location",no
42,P169,chief executive officer,highest-ranking corporate officer appointed as the CEO within an organization,yes
43,P170,creator,maker of this creative work or other object  (where no more specific property exists),yes
44,P171,parent taxon,closest parent taxon of the taxon in question,no
