id	node1	label	node2	rank	node2;wikidatatype
Q31-type-item	Q31	type	item		
Q31-label-en	Q31	label	'Belgium'@en		
Q31-alias-en-ef8372e2-0	Q31	alias	'Kingdom of Belgium'@en		
Q31-alias-en-7408a079-0	Q31	alias	'BEL'@en		
Q31-alias-en-2237515a-0	Q31	alias	'be'@en		
Q31-alias-en-e126e698-0	Q31	alias	'🇧🇪'@en		
Q31-alias-en-8768e691-0	Q31	alias	'BE'@en		
Q31-alias-en-91645d07-0	Q31	alias	'Koninkrijk België'@en		
Q31-alias-en-f27cc4d5-0	Q31	alias	'Royaume de Belgique'@en		
Q31-alias-en-85e7f590-0	Q31	alias	'Königreich Belgien'@en		
Q31-alias-en-c2c63d84-0	Q31	alias	'Belgien'@en		
Q31-P2924-80e5e353-q31$12fd717f-fa44-43ff-a03c-a843fe44a6d6-0	Q31	P2924	"5668845"	normal	external-id
Q31-P1344-Q1088364-q31$7c0dca8a-cfae-4ed9-b5fd-69bb380ce331-0	Q31	P1344	Q1088364	normal	wikibase-item
Q31-P1082-c8d96b49-q31$93ba9638-404b-66ac-2733-e6292666a326-0	Q31	P1082	+11150516	normal	quantity
Q31-P1082-dd1c4b5f-q31$cd1fac39-4cee-a0c9-454b-747661c4ba42-0	Q31	P1082	+11099554	normal	quantity
Q31-P1082-8aee89f7-q31$07dde9cd-4863-2964-45e7-3ea51c212d6a-0	Q31	P1082	+11035948	normal	quantity
Q31-P1082-d18e4ac9-q31$eeab5929-4c74-2309-bab1-a7b1a76a19ae-0	Q31	P1082	+10951266	normal	quantity
Q31-P1082-50e2272a-q31$e89a40c1-4d8e-cf38-95bd-3e383542ff7a-0	Q31	P1082	+10839905	normal	quantity
Q31-P1082-4ed12a7a-q31$e593eaa2-45cc-b4c5-a42b-7e35e5f08fd8-0	Q31	P1082	+10753080	normal	quantity
Q31-P1082-dd36d6ca-q31$5dc4eb3e-4226-666a-0705-7e53fb98ce10-0	Q31	P1082	+10666866	normal	quantity
Q31-P1082-1c859102-q31$7a7ca42f-487e-e923-e46c-ee8bc091a5ee-0	Q31	P1082	+10584534	normal	quantity
Q31-P1082-8fcbb769-q31$a390da81-4566-2cf3-da31-336b9601c893-0	Q31	P1082	+10511382	normal	quantity
Q31-P1082-f90107a0-q31$0325a92c-4b9c-df30-39bb-2dc17ed069f6-0	Q31	P1082	+10445852	normal	quantity
Q31-P1082-b4a080e4-q31$c9022bb3-4f03-4da7-49d8-e02db5a6af00-0	Q31	P1082	+10396421	normal	quantity
Q31-P1082-58cdc30c-q31$62b93788-4279-e905-890a-de67dff57675-0	Q31	P1082	+10355844	normal	quantity
Q31-P1082-a4f207d4-q31$27294f8b-43a8-38e2-4d34-73fe60610f97-0	Q31	P1082	+10309725	normal	quantity
Q31-P1082-2abf6863-q31$7205886e-4d2a-f324-8b6a-26704a7bad6d-0	Q31	P1082	+10263414	normal	quantity
Q31-P1082-09cf36d0-q31$f1fb6c65-b8be-412b-a0a2-1f86b0ed04a9-0	Q31	P1082	+9153489	normal	quantity
